Count,Varietal
168,Roussanne
178,Mencía
178,Tannat
180,Dolcetto
181,G-S-M
181,Pinot Nero
200,Touriga Nacional
209,Zweigelt
215,Montepulciano
222,Primitivo
229,Mourvèdre
232,Blaufränkisch
232,Vermentino
236,Prosecco
250,Torrontés
260,Meritage
269,Petit Verdot
270,Garganega
280,Melon
294,Verdejo
316,Sauvignon
326,Garnacha
358,Moscato
359,Aglianico
365,Nero d'Avola
425,Rhône-style White Blend
442,Pinot Blanc
477,Albariño
575,Carmenère
588,Tempranillo Blend
591,Chenin Blanc
619,"Corvina, Rondinella, Molinara"
651,Grenache
668,Port
709,Glera
721,Barbera
751,Sangiovese Grosso
770,Petite Sirah
836,Shiraz
996,Viognier
1012,Gewürztraminer
1025,Gamay
1052,Pinot Grigio
1066,Bordeaux-style White Blend
1159,Portuguese White
1345,Grüner Veltliner
1353,Cabernet Franc
1396,Champagne Blend
1455,Pinot Gris
1471,Rhône-style Red Blend
1810,Tempranillo
2153,Sparkling Blend
2360,White Blend
2466,Portuguese Red
2652,Malbec
2707,Sangiovese
2714,Zinfandel
2804,Nebbiolo
3102,Merlot
3564,Rosé
4142,Syrah
4967,Sauvignon Blanc
5189,Riesling
6915,Bordeaux-style Red Blend
8946,Red Blend
9472,Cabernet Sauvignon
11753,Chardonnay
13272,Pinot Noir
